subject,session,block,runsheet,trial,exposure,valence,action,robot,stimulus,rune,rune_set,correct,choice,rt,accuracy,sham,outcome,total_keys
02lqpjp4pevk73p8f7ipewf9,2,2,3a,159,2,lose,no-go,NGAL,4.0,T,elianto,0,1,1.128,0,0.0,-10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,160,10,lose,go,GAL,1.0,N,elianto,1,0,,0,1.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,161,3,lose,no-go,NGAL,4.0,T,elianto,0,0,,1,0.0,-1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,162,11,win,no-go,NGW,3.0,X,elianto,0,1,1.18,0,0.0,+1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,163,1,lose,go,GAL,5.0,B,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,164,11,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,165,2,lose,go,GAL,5.0,B,elianto,1,1,0.676,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,166,12,win,no-go,NGW,3.0,X,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,167,12,win,go,GW,0.0,Q,elianto,1,0,,0,0.0,+1,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,168,4,lose,no-go,NGAL,4.0,T,elianto,0,0,,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,169,1,win,no-go,NGW,6.0,C,elianto,0,1,1.125,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,170,1,win,no-go,NGW,7.0,Z,elianto,0,0,,1,0.0,+10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,171,3,lose,go,GAL,5.0,B,elianto,1,0,,0,0.0,-10,0
02lqpjp4pevk73p8f7ipewf9,2,2,3a,172,5,lose,no-go,NGAL,4.0,T,elianto,0,0,,1,0.0,-1,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,173,2,win,no-go,NGW,6.0,C,elianto,0,1,0.794,0,1.0,+10,1
02lqpjp4pevk73p8f7ipewf9,2,2,3a,174,2,win,no-go,NGW,7.0,Z,elianto,0,0,,1,0.0,+10,0
