subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,1,94,24,2,win,go,gw,rune_02_cen,yellow,1,1,0.455,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,95,24,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,1,96,24,3,lose,go,gal,rune_02_raido,blue,1,1,0.471,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,97,25,2,win,go,gw,rune_02_cen,yellow,1,1,1.113,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,98,25,1,win,no-go,ngw,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,1,99,25,3,lose,go,gal,rune_02_raido,blue,1,1,0.423,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,100,25,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,101,26,3,lose,go,gal,rune_02_raido,blue,1,1,0.506,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,1,102,26,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,1,103,26,2,win,go,gw,rune_02_cen,yellow,1,1,0.56,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,104,26,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.36,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,105,27,3,lose,go,gal,rune_02_raido,blue,1,1,0.352,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,1,106,27,4,lose,no-go,ngal,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,1,107,27,1,win,no-go,ngw,rune_02_os,yellow,0,1,0.701,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,1,108,27,2,win,go,gw,rune_02_cen,yellow,1,1,0.337,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,1,109,28,2,win,go,gw,rune_02_cen,yellow,1,1,0.425,1,0.0,+10,1
