	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[90,2,4]	-0.325	0.00619	0.562	-1.47	-0.335	0.739	8237.0	0.422	1.0
beta[91,2,4]	-0.207	0.00545	0.554	-1.33	-0.207	0.839	10335.0	0.53	0.999
beta[92,2,4]	-0.32	0.00582	0.59	-1.5	-0.327	0.813	10257.0	0.526	1.0
beta[93,2,4]	0.0834	0.00553	0.516	-0.978	0.0892	1.05	8718.0	0.447	0.999
beta[94,2,4]	-0.439	0.00276	0.28	-1.01	-0.441	0.0902	10310.0	0.529	0.999
beta[95,2,4]	-0.00967	0.00507	0.498	-1.02	-0.00247	0.925	9635.0	0.494	1.0
beta[96,2,4]	-0.223	0.00559	0.532	-1.31	-0.221	0.771	9072.0	0.465	0.999
beta[97,2,4]	0.775	0.00433	0.388	-0.00158	0.768	1.52	7998.0	0.41	1.0
beta[98,2,4]	0.145	0.00628	0.647	-1.15	0.134	1.38	10615.0	0.544	0.999
beta[99,2,4]	-0.00204	0.00772	0.86	-1.8	-0.00409	1.6	12434.0	0.638	0.999
beta[100,2,4]	-0.753	0.00327	0.34	-1.47	-0.756	-0.0935	10801.0	0.554	0.999
beta[101,2,4]	-0.0543	0.00581	0.563	-1.2	-0.0554	0.99	9375.0	0.481	0.999
beta[102,2,4]	0.152	0.00575	0.611	-1.08	0.141	1.35	11291.0	0.579	1.0
beta[103,2,4]	0.0118	0.0072	0.867	-1.77	0.0155	1.64	14475.0	0.742	0.999
beta[1,3,4]	0.101	0.00576	0.561	-1.07	0.104	1.17	9460.0	0.485	1.0
beta[2,3,4]	0.373	0.00633	0.665	-0.964	0.37	1.62	11022.0	0.565	1.0
beta[3,3,4]	-0.00478	0.00769	0.849	-1.79	0.00415	1.56	12187.0	0.625	0.999
beta[4,3,4]	-0.786	0.00541	0.586	-2.02	-0.78	0.303	11756.0	0.603	1.0
beta[5,3,4]	-0.693	0.00596	0.622	-2.0	-0.689	0.457	10889.0	0.559	1.0
beta[6,3,4]	0.374	0.00593	0.617	-0.856	0.356	1.58	10806.0	0.554	0.999
beta[7,3,4]	-0.0209	0.00467	0.395	-0.797	-0.03	0.752	7140.0	0.366	1.0
beta[8,3,4]	0.00473	0.00836	0.855	-1.77	0.000112	1.59	10461.0	0.537	1.0
beta[9,3,4]	0.48	0.00572	0.655	-0.848	0.481	1.74	13089.0	0.671	1.0
beta[10,3,4]	-0.00102	0.00741	0.866	-1.8	0.00631	1.62	13679.0	0.702	1.0
beta[11,3,4]	0.242	0.0044	0.407	-0.574	0.236	1.01	8552.0	0.439	0.999
beta[12,3,4]	0.643	0.0039	0.343	-0.0318	0.64	1.31	7702.0	0.395	1.0
beta[13,3,4]	-0.0254	0.00627	0.618	-1.28	-0.0253	1.16	9716.0	0.498	0.999
beta[14,3,4]	0.262	0.00397	0.379	-0.503	0.249	0.988	9159.0	0.47	1.0
beta[15,3,4]	-0.0779	0.00571	0.588	-1.28	-0.0866	1.04	10615.0	0.544	1.0
beta[16,3,4]	-0.667	0.00689	0.635	-1.95	-0.664	0.511	8503.0	0.436	0.999
beta[17,3,4]	-0.596	0.00569	0.599	-1.83	-0.599	0.557	11079.0	0.568	0.999
beta[18,3,4]	-0.27	0.00576	0.618	-1.54	-0.265	0.897	11510.0	0.59	0.999
beta[19,3,4]	0.268	0.00487	0.515	-0.751	0.269	1.27	11180.0	0.573	0.999
beta[20,3,4]	-0.236	0.00511	0.499	-1.27	-0.244	0.749	9539.0	0.489	0.999
beta[21,3,4]	0.133	0.00625	0.634	-1.17	0.121	1.38	10278.0	0.527	1.0
beta[22,3,4]	-0.272	0.00551	0.576	-1.46	-0.267	0.82	10898.0	0.559	1.0
beta[23,3,4]	0.667	0.00458	0.472	-0.269	0.666	1.55	10643.0	0.546	0.999
beta[24,3,4]	0.5	0.00645	0.693	-0.901	0.498	1.82	11543.0	0.592	0.999
beta[25,3,4]	0.267	0.00504	0.462	-0.63	0.255	1.17	8376.0	0.43	0.999
beta[26,3,4]	0.0375	0.00489	0.518	-1.03	0.034	1.02	11248.0	0.577	0.999
beta[27,3,4]	-0.00071	0.00751	0.848	-1.74	-0.014	1.6	12751.0	0.654	0.999
beta[28,3,4]	-0.164	0.00679	0.725	-1.64	-0.169	1.18	11412.0	0.585	1.0
beta[29,3,4]	0.354	0.0055	0.544	-0.756	0.352	1.38	9776.0	0.501	1.0
beta[30,3,4]	-0.0794	0.00636	0.648	-1.37	-0.099	1.16	10412.0	0.534	1.0
beta[31,3,4]	0.0346	0.0029	0.297	-0.572	0.0352	0.581	10520.0	0.54	0.999
beta[32,3,4]	-0.189	0.00461	0.472	-1.18	-0.191	0.708	10476.0	0.537	1.0
beta[33,3,4]	1.46	0.00561	0.524	0.399	1.44	2.47	8741.0	0.448	1.0
beta[34,3,4]	0.00873	0.00742	0.836	-1.72	0.0101	1.55	12714.0	0.652	1.0
beta[35,3,4]	-0.679	0.00382	0.414	-1.54	-0.677	0.122	11744.0	0.602	0.999
beta[36,3,4]	-0.0274	0.00567	0.528	-1.09	-0.0324	0.993	8662.0	0.444	0.999
beta[37,3,4]	0.0118	0.00503	0.537	-1.07	0.00134	1.06	11414.0	0.585	0.999
beta[38,3,4]	1.03	0.00417	0.346	0.333	1.02	1.68	6875.0	0.353	1.0
beta[39,3,4]	-0.709	0.00678	0.73	-2.24	-0.718	0.656	11589.0	0.594	0.999
beta[40,3,4]	0.435	0.00324	0.34	-0.248	0.427	1.09	11035.0	0.566	1.0
beta[41,3,4]	-0.00508	0.00719	0.824	-1.65	0.00422	1.55	13126.0	0.673	0.999
beta[42,3,4]	0.261	0.00538	0.576	-0.894	0.258	1.37	11464.0	0.588	0.999
beta[43,3,4]	-0.685	0.00597	0.609	-1.97	-0.686	0.458	10392.0	0.533	0.999
beta[44,3,4]	-0.000609	0.00738	0.842	-1.74	-0.0134	1.62	13009.0	0.667	1.0
beta[45,3,4]	-0.407	0.00631	0.638	-1.72	-0.413	0.803	10222.0	0.524	0.999
beta[46,3,4]	-0.768	0.00446	0.496	-1.78	-0.769	0.169	12352.0	0.634	1.0
beta[47,3,4]	-0.231	0.00436	0.458	-1.17	-0.228	0.623	11063.0	0.567	1.0
beta[48,3,4]	-0.323	0.00533	0.53	-1.44	-0.319	0.686	9904.0	0.508	1.0
beta[49,3,4]	-0.514	0.00402	0.433	-1.4	-0.515	0.288	11583.0	0.594	1.0
beta[50,3,4]	-3.93e-05	0.00765	0.839	-1.76	-0.00309	1.59	12039.0	0.617	0.999
beta[51,3,4]	-1.14	0.00358	0.313	-1.81	-1.13	-0.557	7629.0	0.391	1.0
beta[52,3,4]	-0.0114	0.00763	0.843	-1.8	-0.00313	1.59	12201.0	0.626	0.999
