name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b3[1,36]	0.739	0.00578	0.377	-0.03	0.738	1.45	4252.0	0.591	1.0
b3[1,37]	0.273	0.00331	0.257	-0.246	0.27	0.753	6004.0	0.834	1.0
b3[1,38]	0.743	0.00401	0.282	0.157	0.738	1.29	4972.0	0.69	1.0
b3[1,39]	0.829	0.00321	0.266	0.296	0.826	1.34	6882.0	0.956	1.0
b3[1,40]	2.26	0.00649	0.397	1.51	2.24	3.05	3732.0	0.518	1.0
b3[1,41]	0.812	0.00316	0.267	0.262	0.808	1.31	7129.0	0.99	1.0
b3[1,42]	1.48	0.00702	0.502	0.472	1.46	2.46	5104.0	0.709	0.999
b3[1,43]	0.785	0.00583	0.354	0.0532	0.785	1.46	3685.0	0.512	1.0
b3[1,44]	0.106	0.00334	0.263	-0.431	0.105	0.604	6197.0	0.861	0.999
b3[1,45]	1.36	0.00485	0.364	0.648	1.36	2.06	5616.0	0.78	0.999
b3[1,46]	0.453	0.00618	0.423	-0.395	0.454	1.22	4675.0	0.649	1.0
b3[1,47]	1.27	0.00556	0.355	0.547	1.27	1.96	4071.0	0.565	1.0
b3[1,48]	0.819	0.00573	0.38	0.0506	0.815	1.55	4381.0	0.608	1.0
b3[1,49]	1.84	0.00473	0.346	1.12	1.84	2.5	5361.0	0.744	1.0
b3[1,50]	1.45	0.00384	0.275	0.89	1.45	1.98	5132.0	0.713	0.999
b3[1,51]	1.92	0.00765	0.456	1.05	1.91	2.83	3545.0	0.492	1.0
b3[1,52]	0.191	0.00446	0.352	-0.541	0.193	0.837	6231.0	0.865	1.0
b3[1,53]	0.617	0.00338	0.243	0.127	0.615	1.08	5175.0	0.719	1.0
b3[1,54]	1.02	0.00481	0.285	0.463	1.01	1.58	3510.0	0.487	1.0
b3[1,55]	0.398	0.00598	0.389	-0.377	0.397	1.12	4224.0	0.587	1.0
b3[1,56]	0.965	0.00678	0.484	-0.00419	0.97	1.89	5103.0	0.709	1.0
b3[1,57]	0.706	0.00337	0.259	0.177	0.701	1.19	5925.0	0.823	1.0
b3[1,58]	0.568	0.00506	0.373	-0.192	0.568	1.29	5440.0	0.756	1.0
b3[1,59]	1.7	0.00633	0.417	0.873	1.69	2.52	4341.0	0.603	1.0
b3[1,60]	1.05	0.00424	0.313	0.426	1.04	1.65	5448.0	0.757	1.0
b3[1,61]	1.07	0.00555	0.386	0.311	1.06	1.81	4828.0	0.671	0.999
b3[1,62]	0.732	0.00392	0.298	0.125	0.731	1.29	5753.0	0.799	1.0
b3[1,63]	1.0	0.00669	0.43	0.136	1.0	1.8	4122.0	0.572	1.0
b3[1,64]	0.993	0.00718	0.489	0.0375	0.982	1.94	4635.0	0.644	1.0
b3[1,65]	1.45	0.00474	0.336	0.803	1.44	2.1	5025.0	0.698	1.0
b3[1,66]	1.27	0.0052	0.356	0.537	1.26	1.95	4677.0	0.649	1.0
b3[1,67]	0.946	0.00436	0.305	0.333	0.941	1.52	4899.0	0.68	1.0
b3[1,68]	1.7	0.00582	0.429	0.858	1.7	2.53	5418.0	0.752	1.0
b3[1,69]	0.579	0.00449	0.322	-0.081	0.573	1.21	5150.0	0.715	0.999
b3[1,70]	3.06	0.00704	0.422	2.24	3.04	3.89	3599.0	0.5	1.0
b3[1,71]	1.52	0.00558	0.389	0.741	1.52	2.27	4849.0	0.673	1.0
b3[1,72]	0.887	0.00429	0.308	0.267	0.88	1.49	5154.0	0.716	1.0
b3[1,73]	0.219	0.00571	0.402	-0.586	0.22	0.97	4942.0	0.686	0.999
b3[1,74]	2.43	0.00537	0.379	1.69	2.42	3.15	4969.0	0.69	1.0
b3[1,75]	0.3	0.0066	0.436	-0.595	0.302	1.14	4370.0	0.607	1.0
b3[1,76]	0.888	0.00567	0.412	0.0803	0.88	1.67	5274.0	0.732	1.0
b3[1,77]	1.05	0.00486	0.347	0.345	1.05	1.7	5075.0	0.705	1.0
b3[1,78]	0.778	0.0047	0.332	0.108	0.774	1.42	4997.0	0.694	0.999
b3[1,79]	0.819	0.00572	0.377	0.0599	0.814	1.53	4349.0	0.604	1.0
b3[1,80]	1.19	0.00398	0.329	0.534	1.18	1.83	6858.0	0.952	0.999
b3[1,81]	0.374	0.00703	0.447	-0.587	0.378	1.21	4035.0	0.56	1.0
b3[1,82]	-0.0717	0.00471	0.332	-0.75	-0.0728	0.544	4969.0	0.69	1.0
b3[1,83]	1.12	0.00618	0.446	0.244	1.12	1.99	5202.0	0.722	0.999
b3[1,84]	1.15	0.00452	0.273	0.607	1.14	1.67	3641.0	0.506	1.0
b3[1,85]	1.08	0.0075	0.468	0.124	1.07	1.99	3903.0	0.542	1.0
b3[1,86]	0.155	0.00467	0.344	-0.545	0.158	0.799	5439.0	0.755	1.0
b3[1,87]	0.556	0.00695	0.407	-0.249	0.555	1.35	3429.0	0.476	1.0
b3[1,88]	0.962	0.00762	0.501	-0.0323	0.946	1.91	4315.0	0.599	1.0
b3[1,89]	1.58	0.00454	0.345	0.891	1.57	2.24	5764.0	0.801	1.0
b3[1,90]	0.781	0.00555	0.368	0.0196	0.777	1.49	4398.0	0.611	1.0
b3[1,91]	1.12	0.00649	0.427	0.263	1.12	1.96	4336.0	0.602	1.0
b3[1,92]	1.28	0.0054	0.377	0.542	1.28	2.01	4856.0	0.674	1.0
b3[1,93]	1.45	0.00597	0.412	0.612	1.45	2.25	4758.0	0.661	1.0
b3[1,94]	0.832	0.00411	0.298	0.228	0.833	1.4	5245.0	0.728	1.0
b3[1,95]	1.44	0.00575	0.355	0.742	1.43	2.13	3803.0	0.528	1.0
b3[1,96]	1.31	0.00441	0.317	0.675	1.3	1.91	5181.0	0.719	1.0
b3[1,97]	0.249	0.00357	0.243	-0.248	0.246	0.7	4653.0	0.646	1.0
b3[1,98]	1.17	0.00477	0.353	0.468	1.17	1.85	5473.0	0.76	1.0
b3[1,99]	0.687	0.00496	0.307	0.0567	0.693	1.26	3834.0	0.532	1.0
b3[1,100]	1.43	0.00459	0.304	0.842	1.42	2.02	4397.0	0.611	1.0
b3[1,101]	0.918	0.00575	0.361	0.21	0.914	1.61	3946.0	0.548	1.0
b3[1,102]	-0.333	0.00501	0.352	-1.07	-0.325	0.319	4948.0	0.687	1.0
b3[1,103]	1.93	0.00484	0.337	1.27	1.92	2.58	4851.0	0.674	1.0
b3[2,1]	0.627	0.00815	0.489	-0.367	0.613	1.56	3608.0	0.501	1.0
b3[2,2]	0.681	0.00742	0.465	-0.26	0.681	1.57	3927.0	0.545	1.0
