name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[3,10]	0.467	0.0122	0.722	-1.06	0.472	1.81	3505.0	0.249	1.0
theta_d_pr[3,11]	0.71	0.019	0.524	-0.363	0.7	1.69	761.0	0.0542	1.01
theta_d_pr[3,12]	0.543	0.0318	0.669	-0.775	0.551	1.78	442.0	0.0314	1.01
theta_d_pr[3,13]	1.02	0.00767	0.483	0.0559	1.02	1.95	3964.0	0.282	1.0
theta_d_pr[3,14]	-0.298	0.0257	0.757	-1.87	-0.286	1.08	868.0	0.0618	1.0
theta_d_pr[3,15]	0.495	0.0209	0.672	-0.832	0.48	1.74	1037.0	0.0738	1.01
theta_d_pr[3,16]	-0.125	0.0135	0.8	-1.78	-0.104	1.37	3492.0	0.249	1.0
theta_d_pr[3,17]	-0.273	0.0362	0.67	-1.64	-0.294	1.03	343.0	0.0244	1.01
theta_d_pr[3,18]	-0.141	0.0124	0.603	-1.41	-0.13	0.962	2384.0	0.17	1.0
theta_d_pr[3,19]	0.688	0.0298	0.804	-0.982	0.687	2.15	726.0	0.0516	1.01
theta_d_pr[3,20]	0.0818	0.0494	0.76	-1.61	0.11	1.47	237.0	0.0168	1.02
theta_d_pr[3,21]	0.289	0.0427	0.661	-1.01	0.257	1.72	240.0	0.0171	1.02
theta_d_pr[3,22]	0.173	0.0157	0.689	-1.25	0.185	1.46	1916.0	0.136	1.0
theta_d_pr[3,23]	0.277	0.0134	0.589	-0.948	0.276	1.34	1933.0	0.138	1.0
theta_d_pr[3,24]	0.315	0.0319	0.703	-1.09	0.317	1.64	486.0	0.0346	1.01
theta_d_pr[3,25]	-0.25	0.0194	0.714	-1.71	-0.241	1.06	1355.0	0.0964	1.01
theta_d_pr[3,26]	1.27	0.00937	0.679	-0.124	1.26	2.55	5251.0	0.374	1.0
theta_d_pr[3,27]	0.75	0.0105	0.676	-0.592	0.734	2.06	4176.0	0.297	1.0
theta_d_pr[3,28]	-0.158	0.00669	0.442	-1.07	-0.163	0.664	4357.0	0.31	1.0
theta_d_pr[3,29]	-0.206	0.00986	0.595	-1.4	-0.208	0.916	3644.0	0.259	1.0
theta_d_pr[3,30]	1.02	0.00963	0.632	-0.23	1.01	2.23	4306.0	0.307	1.0
