Subject,Block,Trial,Valence,Exposure,Action,Robot,Rune,Color,Correct,Choice,RT,Accuracy,Sham,Outcome,TotalKeys
0ubclurpshlgyru3cwo3stun,1,68,Win,17,No-Go,NGW,rune_02_os,yellow,0,1,0.409,0,0.0,+1,1
0ubclurpshlgyru3cwo3stun,1,69,Win,18,No-Go,NGW,rune_02_os,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,70,Win,18,Go,GW,rune_02_cen,yellow,1,1,0.366,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,71,Lose,18,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,72,Lose,18,Go,GAL,rune_02_raido,blue,1,1,0.463,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,73,Win,19,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,74,Lose,19,Go,GAL,rune_02_raido,blue,1,1,0.531,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,75,Win,19,Go,GW,rune_02_cen,yellow,1,1,0.471,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,76,Lose,19,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,77,Lose,20,Go,GAL,rune_02_raido,blue,1,1,0.483,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,78,Win,20,No-Go,NGW,rune_02_os,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,79,Lose,20,No-Go,NGAL,rune_02_haglaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,80,Win,20,Go,GW,rune_02_cen,yellow,1,1,0.49,1,0.0,+10,1
