	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
beta[52,1,5]	0.296	0.00823	0.518	-0.756	0.3	1.26	3956.0	1.53	0.999
beta[53,1,5]	-0.87	0.00769	0.45	-1.76	-0.871	0.0111	3427.0	1.33	1.0
beta[54,1,5]	-0.71	0.00759	0.502	-1.73	-0.715	0.224	4381.0	1.7	0.999
beta[55,1,5]	-1.15	0.00683	0.453	-2.08	-1.15	-0.298	4398.0	1.7	0.998
beta[56,1,5]	-1.19	0.0078	0.454	-2.16	-1.18	-0.367	3398.0	1.32	0.999
beta[57,1,5]	-0.14	0.00782	0.518	-1.17	-0.139	0.788	4386.0	1.7	0.999
beta[58,1,5]	-0.973	0.00721	0.458	-1.89	-0.973	-0.118	4030.0	1.56	0.998
beta[59,1,5]	1.71	0.00988	0.56	0.569	1.71	2.74	3215.0	1.25	1.0
beta[60,1,5]	-0.0686	0.00753	0.468	-1.06	-0.067	0.817	3859.0	1.5	0.999
beta[61,1,5]	0.652	0.0104	0.582	-0.541	0.645	1.76	3133.0	1.21	0.999
beta[62,1,5]	0.583	0.00844	0.503	-0.457	0.575	1.56	3546.0	1.37	0.999
beta[63,1,5]	0.635	0.00787	0.487	-0.376	0.633	1.56	3824.0	1.48	0.998
beta[64,1,5]	0.0802	0.00812	0.468	-0.867	0.0728	1.0	3319.0	1.29	1.0
beta[65,1,5]	0.0595	0.0076	0.468	-0.9	0.0546	0.96	3787.0	1.47	1.0
beta[66,1,5]	-0.289	0.0078	0.438	-1.23	-0.295	0.559	3159.0	1.22	0.999
beta[67,1,5]	0.609	0.00881	0.58	-0.525	0.59	1.68	4330.0	1.68	0.999
beta[68,1,5]	1.36	0.0103	0.545	0.242	1.36	2.39	2780.0	1.08	1.0
beta[69,1,5]	-0.723	0.00729	0.471	-1.71	-0.726	0.152	4173.0	1.62	0.998
beta[70,1,5]	-0.772	0.00744	0.456	-1.72	-0.777	0.0926	3756.0	1.46	1.0
beta[71,1,5]	-0.105	0.00897	0.46	-1.08	-0.111	0.775	2633.0	1.02	1.0
beta[72,1,5]	0.104	0.00707	0.482	-0.879	0.102	1.03	4645.0	1.8	0.999
beta[73,1,5]	-1.16	0.00648	0.458	-2.08	-1.16	-0.282	4995.0	1.94	0.999
beta[74,1,5]	0.815	0.0086	0.515	-0.251	0.809	1.81	3590.0	1.39	0.999
beta[75,1,5]	-0.605	0.00735	0.46	-1.55	-0.626	0.284	3911.0	1.52	0.999
beta[76,1,5]	0.739	0.00871	0.55	-0.362	0.732	1.8	3985.0	1.54	1.0
beta[77,1,5]	-0.291	0.0067	0.449	-1.2	-0.289	0.587	4495.0	1.74	0.999
beta[78,1,5]	1.41	0.0125	0.563	0.271	1.4	2.5	2027.0	0.786	1.0
beta[79,1,5]	-0.602	0.00744	0.428	-1.44	-0.603	0.197	3299.0	1.28	0.999
beta[80,1,5]	-0.837	0.00745	0.486	-1.87	-0.828	0.0698	4250.0	1.65	1.0
beta[81,1,5]	0.486	0.00848	0.544	-0.587	0.474	1.52	4121.0	1.6	1.0
beta[82,1,5]	0.839	0.00905	0.512	-0.183	0.837	1.81	3202.0	1.24	0.999
beta[83,1,5]	-0.316	0.00772	0.47	-1.3	-0.324	0.576	3716.0	1.44	0.999
beta[84,1,5]	-0.094	0.00757	0.482	-1.08	-0.0934	0.806	4055.0	1.57	0.998
beta[85,1,5]	-1.32	0.00713	0.457	-2.31	-1.32	-0.413	4101.0	1.59	0.999
beta[86,1,5]	1.42	0.0104	0.571	0.252	1.42	2.52	3013.0	1.17	1.0
beta[87,1,5]	-0.166	0.00789	0.479	-1.16	-0.163	0.709	3690.0	1.43	0.998
beta[88,1,5]	0.704	0.00758	0.487	-0.259	0.694	1.62	4128.0	1.6	0.999
beta[89,1,5]	-1.09	0.00749	0.457	-2.01	-1.1	-0.214	3728.0	1.44	1.0
beta[90,1,5]	0.463	0.00892	0.524	-0.601	0.471	1.44	3443.0	1.33	0.998
beta[91,1,5]	1.1	0.0097	0.544	-0.0193	1.09	2.15	3150.0	1.22	0.999
beta[92,1,5]	0.0121	0.00717	0.467	-0.961	0.00208	0.891	4233.0	1.64	0.999
beta[93,1,5]	-0.095	0.00782	0.458	-1.06	-0.0934	0.757	3436.0	1.33	0.999
beta[94,1,5]	-0.849	0.00813	0.471	-1.8	-0.849	0.0502	3358.0	1.3	0.999
beta[95,1,5]	-0.464	0.00625	0.433	-1.36	-0.463	0.373	4808.0	1.86	0.998
beta[96,1,5]	0.432	0.00817	0.473	-0.526	0.435	1.31	3350.0	1.3	0.999
beta[97,1,5]	-0.812	0.00705	0.439	-1.74	-0.811	0.0348	3877.0	1.5	0.999
beta[98,1,5]	-0.85	0.00766	0.461	-1.79	-0.851	0.0337	3621.0	1.4	0.999
beta[99,1,5]	-0.664	0.00874	0.49	-1.67	-0.66	0.254	3138.0	1.22	1.0
beta[100,1,5]	0.104	0.00839	0.496	-0.914	0.101	1.04	3491.0	1.35	0.999
beta[101,1,5]	0.609	0.00833	0.511	-0.454	0.608	1.55	3770.0	1.46	0.999
beta[102,1,5]	-0.969	0.00696	0.46	-1.91	-0.972	-0.102	4373.0	1.69	0.999
beta[103,1,5]	1.91	0.0112	0.593	0.723	1.91	3.04	2799.0	1.09	0.999
beta[104,1,5]	0.202	0.00763	0.486	-0.819	0.201	1.1	4054.0	1.57	1.0
beta[105,1,5]	-0.813	0.00647	0.431	-1.71	-0.803	-0.0392	4445.0	1.72	0.998
beta[106,1,5]	-0.964	0.00807	0.497	-1.98	-0.964	-0.0416	3788.0	1.47	0.999
beta[107,1,5]	-0.151	0.00817	0.492	-1.17	-0.152	0.764	3622.0	1.4	0.998
beta[108,1,5]	-1.01	0.00673	0.46	-1.98	-1.01	-0.147	4681.0	1.81	0.999
beta[109,1,5]	0.366	0.00768	0.472	-0.575	0.357	1.27	3770.0	1.46	0.999
beta[110,1,5]	-0.374	0.00695	0.471	-1.35	-0.383	0.544	4587.0	1.78	1.0
beta[1,2,5]	-0.28	0.00722	0.443	-1.17	-0.275	0.554	3756.0	1.46	0.999
beta[2,2,5]	-0.935	0.00659	0.41	-1.78	-0.947	-0.103	3881.0	1.5	0.999
beta[3,2,5]	-0.0302	0.00796	0.474	-0.978	-0.0373	0.871	3552.0	1.38	1.0
beta[4,2,5]	0.0678	0.00811	0.5	-0.942	0.0804	0.996	3799.0	1.47	0.998
beta[5,2,5]	-1.6	0.0068	0.433	-2.51	-1.6	-0.812	4055.0	1.57	1.0
beta[6,2,5]	-0.0621	0.00762	0.488	-1.05	-0.0654	0.885	4113.0	1.59	0.999
beta[7,2,5]	0.785	0.00901	0.516	-0.23	0.777	1.81	3284.0	1.27	0.999
beta[8,2,5]	0.0911	0.00826	0.467	-0.855	0.0861	0.971	3197.0	1.24	1.0
beta[9,2,5]	0.439	0.00846	0.511	-0.566	0.424	1.43	3645.0	1.41	0.999
beta[10,2,5]	0.475	0.0091	0.54	-0.631	0.476	1.49	3525.0	1.37	0.999
beta[11,2,5]	0.436	0.00878	0.527	-0.649	0.439	1.43	3601.0	1.4	1.0
beta[12,2,5]	-0.533	0.00695	0.467	-1.53	-0.532	0.353	4502.0	1.74	0.998
beta[13,2,5]	0.826	0.0102	0.57	-0.347	0.819	1.92	3145.0	1.22	0.999
beta[14,2,5]	0.126	0.00799	0.491	-0.869	0.122	1.08	3777.0	1.46	0.999
beta[15,2,5]	-1.26	0.00613	0.422	-2.09	-1.26	-0.463	4753.0	1.84	0.999
beta[16,2,5]	0.206	0.0089	0.572	-0.963	0.198	1.32	4130.0	1.6	0.999
beta[17,2,5]	-0.202	0.00789	0.475	-1.15	-0.207	0.699	3624.0	1.4	0.998
beta[18,2,5]	0.307	0.00958	0.533	-0.775	0.306	1.32	3091.0	1.2	0.999
beta[19,2,5]	-0.442	0.00813	0.441	-1.35	-0.439	0.368	2942.0	1.14	1.0
beta[20,2,5]	0.00344	0.00763	0.464	-0.951	0.00296	0.869	3702.0	1.43	0.999
beta[21,2,5]	0.0797	0.00794	0.465	-0.851	0.0792	0.951	3434.0	1.33	1.0
beta[22,2,5]	0.894	0.00822	0.508	-0.108	0.894	1.86	3830.0	1.48	0.999
beta[23,2,5]	0.531	0.00944	0.524	-0.521	0.517	1.53	3080.0	1.19	0.999
beta[24,2,5]	-0.289	0.00686	0.454	-1.21	-0.291	0.575	4391.0	1.7	0.999
beta[25,2,5]	0.199	0.00807	0.503	-0.837	0.197	1.13	3888.0	1.51	0.999
beta[26,2,5]	0.153	0.00785	0.479	-0.836	0.152	1.05	3722.0	1.44	1.0
beta[27,2,5]	0.863	0.00983	0.542	-0.202	0.847	1.92	3046.0	1.18	0.999
beta[28,2,5]	-0.00135	0.00716	0.482	-0.971	-0.000397	0.926	4524.0	1.75	0.998
beta[29,2,5]	1.57	0.0107	0.572	0.444	1.57	2.65	2887.0	1.12	1.0
beta[30,2,5]	-0.0148	0.0139	0.934	-2.03	-0.0264	1.7	4502.0	1.74	0.998
beta[31,2,5]	-0.398	0.00781	0.473	-1.36	-0.404	0.486	3665.0	1.42	0.999
beta[32,2,5]	-1.25	0.00726	0.434	-2.17	-1.25	-0.446	3563.0	1.38	0.999
beta[33,2,5]	-1.24	0.00702	0.451	-2.15	-1.24	-0.386	4130.0	1.6	0.999
beta[34,2,5]	-0.613	0.00864	0.462	-1.55	-0.611	0.28	2860.0	1.11	0.998
beta[35,2,5]	1.1	0.00938	0.582	-0.0305	1.09	2.26	3847.0	1.49	0.999
beta[36,2,5]	1.17	0.0103	0.58	0.0159	1.18	2.23	3192.0	1.24	1.0
beta[37,2,5]	0.691	0.00797	0.535	-0.401	0.683	1.72	4501.0	1.74	1.0
beta[38,2,5]	0.966	0.00807	0.526	-0.0872	0.958	2.0	4243.0	1.64	0.999
beta[39,2,5]	-0.121	0.00858	0.51	-1.13	-0.13	0.836	3540.0	1.37	1.0
beta[40,2,5]	0.729	0.00836	0.504	-0.277	0.736	1.67	3630.0	1.41	0.998
beta[41,2,5]	1.14	0.00993	0.542	0.0394	1.14	2.13	2981.0	1.16	1.0
