	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1[1,40]	19.5	0.0922	6.17	9.06	18.9	32.8	4479.0	0.204	1.0
b1[2,40]	19.8	0.0917	6.26	8.9	19.2	32.9	4655.0	0.212	1.0
b1[1,41]	20.8	0.0816	5.75	10.9	20.2	32.9	4973.0	0.226	1.0
b1[2,41]	20.7	0.0853	5.88	10.8	20.1	33.2	4762.0	0.217	1.0
b1[1,42]	15.6	0.088	6.31	5.04	14.9	29.4	5142.0	0.234	1.0
b1[2,42]	15.9	0.0882	6.37	5.19	15.2	29.6	5220.0	0.237	1.0
b1[1,43]	14.6	0.101	5.86	4.93	13.9	27.6	3349.0	0.152	1.0
b1[2,43]	15.4	0.088	5.59	6.62	14.6	28.0	4037.0	0.184	1.0
b1[1,44]	3.5	0.065	2.21	1.55	2.97	9.33	1153.0	0.0525	1.01
b1[2,44]	3.92	0.0654	2.3	1.57	3.39	9.94	1236.0	0.0562	1.01
b1[1,45]	6.92	0.0568	2.75	3.36	6.34	13.4	2347.0	0.107	1.0
b1[2,45]	6.87	0.0651	3.02	2.75	6.34	13.9	2157.0	0.0981	1.0
b1[1,46]	7.65	0.0842	4.58	2.27	6.3	18.9	2965.0	0.135	1.0
b1[2,46]	7.84	0.0863	4.61	2.32	6.6	19.0	2856.0	0.13	1.0
b1[1,47]	9.26	0.0691	3.91	4.28	8.3	18.8	3206.0	0.146	1.0
b1[2,47]	9.33	0.071	4.15	3.81	8.42	19.2	3418.0	0.155	1.0
b1[1,48]	9.95	0.0361	2.33	6.19	9.62	15.1	4161.0	0.189	1.0
b1[2,48]	10.6	0.0369	2.39	6.67	10.3	15.8	4188.0	0.19	1.0
b1[1,49]	2.71	0.099	4.39	-2.27	1.34	15.0	1970.0	0.0896	1.0
b1[2,49]	2.76	0.102	4.51	-2.08	1.33	15.3	1965.0	0.0894	1.0
b1[1,50]	5.5	0.0616	2.69	2.03	5.06	11.4	1902.0	0.0865	1.0
b1[2,50]	5.35	0.065	2.9	1.66	4.8	12.1	1994.0	0.0907	1.0
b1[1,51]	23.6	0.0764	5.62	13.7	23.1	35.6	5422.0	0.247	1.0
b1[2,51]	24.1	0.074	5.53	14.5	23.6	35.8	5578.0	0.254	1.0
b1[1,52]	4.34	0.091	4.46	-0.375	2.86	16.3	2396.0	0.109	1.0
b1[2,52]	4.8	0.0907	4.52	-0.247	3.46	16.8	2491.0	0.113	1.0
b1[1,53]	6.76	0.0849	4.49	1.91	5.35	18.5	2796.0	0.127	1.0
b1[2,53]	6.96	0.0859	4.53	1.85	5.65	18.5	2775.0	0.126	1.0
