name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"beta_pr[6,64]",0.514,0.0116,0.794,-0.778,0.507,1.82,4660,1.53,0.999
"beta_pr[6,65]",0.992,0.0109,0.791,-0.316,0.981,2.31,5252,1.72,0.999
"beta_pr[6,66]",-0.739,0.0115,0.780,-2.03,-0.738,0.533,4615,1.51,1.00
"beta_pr[6,67]",-0.0717,0.0130,0.860,-1.48,-0.0696,1.34,4367,1.43,1.000
"beta_pr[6,68]",0.882,0.0118,0.842,-0.510,0.879,2.25,5101,1.67,0.999
"beta_pr[6,69]",-0.360,0.0112,0.774,-1.63,-0.374,0.907,4788,1.57,1.000
"beta_pr[6,70]",0.475,0.0110,0.758,-0.782,0.481,1.70,4743,1.56,0.999
"beta_pr[6,71]",-0.432,0.0114,0.809,-1.74,-0.437,0.910,5038,1.65,1.000
"beta_pr[6,72]",0.538,0.0120,0.755,-0.726,0.553,1.78,3931,1.29,1.00
"beta_pr[6,73]",0.182,0.0102,0.747,-1.07,0.174,1.41,5349,1.75,0.999
"beta_pr[6,74]",-0.0984,0.0122,0.840,-1.48,-0.101,1.29,4708,1.54,1.000
"beta_pr[6,75]",0.718,0.0116,0.797,-0.592,0.712,1.99,4705,1.54,1.00
"beta_pr[6,76]",-1.58,0.0104,0.737,-2.77,-1.57,-0.410,4976,1.63,1.000
"beta_pr[6,77]",-0.718,0.0121,0.770,-1.98,-0.711,0.539,4037,1.32,0.999
"beta_pr[6,78]",-1.47,0.0120,0.770,-2.75,-1.47,-0.210,4128,1.35,1.00
"beta_pr[6,79]",-0.330,0.0108,0.805,-1.65,-0.330,0.988,5505,1.81,1.000
"beta_pr[6,80]",-0.440,0.0117,0.772,-1.71,-0.427,0.802,4385,1.44,1.000
"beta_pr[6,81]",0.0938,0.0116,0.786,-1.21,0.0993,1.38,4570,1.50,1.000
"beta_pr[6,82]",-0.164,0.0108,0.742,-1.37,-0.147,1.03,4754,1.56,1.000
"beta_pr[6,83]",0.198,0.0122,0.785,-1.09,0.199,1.48,4149,1.36,1.00
"beta_pr[6,84]",-0.193,0.0118,0.759,-1.45,-0.198,1.06,4113,1.35,0.999
"beta_pr[6,85]",-0.126,0.0111,0.779,-1.40,-0.119,1.16,4893,1.60,1.000
