name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"theta_c_pr[1,33]",-0.397,0.0114,0.256,-0.773,-0.417,0.0586,506,0.0599,1.00
"theta_c_pr[1,34]",-0.549,0.0138,0.458,-1.09,-0.654,0.416,1093,0.129,1.00
"theta_c_pr[1,35]",0.911,0.0119,0.574,0.0584,0.865,1.93,2321,0.274,1.00
"theta_c_pr[1,36]",0.356,0.0162,0.601,-0.478,0.265,1.48,1378,0.163,1.00
"theta_c_pr[1,37]",0.156,0.0120,0.495,-0.504,0.0713,1.07,1707,0.202,1.00
"theta_c_pr[1,38]",0.0621,0.0113,0.521,-0.629,-0.0216,1.04,2107,0.249,1.000
"theta_c_pr[1,39]",1.20,0.0154,0.511,0.438,1.16,2.11,1095,0.129,1.00
"theta_c_pr[1,40]",-0.830,0.00846,0.163,-1.10,-0.830,-0.562,370,0.0438,1.01
"theta_c_pr[1,41]",-0.199,0.0246,0.711,-1.02,-0.399,1.28,832,0.0984,1.01
"theta_c_pr[1,42]",-0.563,0.0102,0.269,-0.949,-0.588,-0.0959,697,0.0825,1.00
"theta_c_pr[1,43]",-0.640,0.0356,0.835,-1.43,-1.000,1.17,551,0.0652,1.00
"theta_c_pr[1,44]",-0.938,0.0594,0.748,-1.48,-1.17,0.939,158,0.0187,1.03
"theta_c_pr[1,45]",0.707,0.0116,0.588,-0.160,0.640,1.76,2573,0.304,1.000
"theta_c_pr[1,46]",0.0529,0.0302,0.934,-1.17,-0.115,1.77,959,0.113,1.00
"theta_c_pr[1,47]",0.445,0.0486,0.913,-1.08,0.454,1.98,353,0.0417,1.02
"theta_c_pr[1,48]",-0.877,0.00825,0.245,-1.23,-0.902,-0.455,880,0.104,1.00
"theta_c_pr[1,49]",-0.278,0.0241,0.682,-1.02,-0.473,1.15,802,0.0949,1.01
"theta_c_pr[1,50]",-0.746,0.0300,0.713,-1.43,-0.950,0.951,564,0.0667,1.00
