name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[5,15]	0.0219	0.00916	0.9	-1.85	0.00316	1.72	9661.0	5.2	0.999
theta_pr[5,16]	0.31	0.00791	0.644	-0.995	0.286	1.56	6626.0	3.56	1.0
theta_pr[5,17]	0.658	0.0094	0.726	-0.718	0.612	2.15	5963.0	3.21	1.0
theta_pr[5,18]	0.749	0.00787	0.646	-0.429	0.704	2.11	6740.0	3.63	1.0
theta_pr[5,19]	-0.831	0.00699	0.556	-1.96	-0.849	0.261	6326.0	3.4	0.999
theta_pr[5,20]	-1.02	0.00631	0.446	-1.94	-1.03	-0.166	4996.0	2.69	1.0
theta_pr[5,21]	0.369	0.00709	0.668	-0.924	0.339	1.72	8877.0	4.77	1.0
theta_pr[5,22]	-0.382	0.00714	0.733	-1.84	-0.389	1.04	10551.0	5.68	1.0
theta_pr[5,23]	1.01	0.00795	0.621	-0.181	0.981	2.24	6104.0	3.28	1.0
theta_pr[5,24]	1.05	0.00708	0.544	0.0143	1.01	2.16	5911.0	3.18	1.0
theta_pr[5,25]	-0.569	0.00856	0.816	-2.23	-0.58	1.02	9102.0	4.9	1.0
theta_pr[5,26]	0.00632	0.00675	0.554	-1.03	-0.027	1.11	6743.0	3.63	1.0
theta_pr[5,27]	0.617	0.00828	0.716	-0.735	0.594	2.06	7463.0	4.01	1.0
theta_pr[5,28]	0.546	0.00767	0.713	-0.951	0.534	1.9	8629.0	4.64	1.0
theta_pr[5,29]	-0.136	0.0102	0.778	-1.56	-0.206	1.53	5780.0	3.11	1.0
theta_pr[5,30]	-1.27	0.0089	0.785	-2.84	-1.28	0.235	7786.0	4.19	1.0
theta_pr[5,31]	0.887	0.00934	0.7	-0.524	0.89	2.23	5607.0	3.02	1.0
theta_pr[5,32]	1.31	0.00728	0.636	0.0631	1.29	2.54	7626.0	4.1	1.0
theta_pr[5,33]	-0.543	0.0075	0.647	-1.8	-0.571	0.758	7437.0	4.0	1.0
theta_pr[5,34]	0.103	0.00732	0.629	-1.13	0.0766	1.39	7379.0	3.97	1.0
theta_pr[5,35]	0.248	0.00676	0.513	-0.711	0.211	1.28	5769.0	3.1	1.0
theta_pr[5,36]	1.23	0.00837	0.617	0.0825	1.18	2.53	5442.0	2.93	1.0
theta_pr[5,37]	0.587	0.00683	0.614	-0.556	0.553	1.84	8071.0	4.34	1.0
theta_pr[5,38]	-1.13	0.00674	0.534	-2.19	-1.13	-0.0877	6282.0	3.38	1.0
theta_pr[5,39]	-0.155	0.00645	0.508	-1.14	-0.184	0.873	6192.0	3.33	1.0
theta_pr[5,40]	-0.918	0.00879	0.743	-2.39	-0.948	0.562	7141.0	3.84	1.0
theta_pr[5,41]	0.239	0.00842	0.654	-0.991	0.209	1.6	6032.0	3.24	1.0
theta_pr[5,42]	-0.457	0.0073	0.619	-1.67	-0.469	0.747	7178.0	3.86	1.0
theta_pr[5,43]	0.291	0.00954	0.842	-1.32	0.265	1.94	7785.0	4.19	1.0
theta_pr[5,44]	-0.498	0.0088	0.863	-2.2	-0.538	1.15	9632.0	5.18	1.0
