name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_c_pr[5,27]	0.54	0.00833	0.755	-1.0	0.539	1.95	8203.0	2.51	0.999
theta_c_pr[5,28]	-0.664	0.0108	1.02	-2.61	-0.697	1.33	8860.0	2.71	1.0
theta_c_pr[5,29]	0.184	0.00794	0.729	-1.31	0.181	1.55	8416.0	2.57	1.0
theta_c_pr[5,30]	-0.0907	0.0108	0.755	-1.6	-0.0887	1.33	4932.0	1.51	1.0
theta_c_pr[5,31]	0.158	0.0101	0.795	-1.45	0.158	1.63	6175.0	1.89	1.0
theta_c_pr[5,32]	0.639	0.00776	0.654	-0.666	0.633	1.87	7092.0	2.17	1.0
theta_c_pr[5,33]	-1.75	0.0103	0.797	-3.31	-1.78	-0.122	5988.0	1.83	1.0
theta_c_pr[5,34]	-0.346	0.00829	0.722	-1.81	-0.357	0.985	7592.0	2.32	1.0
theta_c_pr[5,35]	-0.448	0.0117	0.783	-2.05	-0.45	1.03	4465.0	1.36	1.0
theta_c_pr[5,36]	-0.162	0.0108	1.04	-2.27	-0.147	1.78	9226.0	2.82	1.0
theta_c_pr[5,37]	-0.0837	0.00905	0.769	-1.62	-0.095	1.38	7218.0	2.2	1.0
theta_c_pr[5,38]	0.716	0.0085	0.742	-0.826	0.736	2.1	7617.0	2.33	1.0
theta_c_pr[5,39]	-0.035	0.0077	0.681	-1.43	-0.045	1.28	7821.0	2.39	1.0
theta_c_pr[5,40]	0.548	0.00736	0.762	-1.03	0.549	1.98	10723.0	3.27	1.0
theta_c_pr[5,41]	0.3	0.00995	0.756	-1.18	0.291	1.79	5775.0	1.76	1.0
theta_c_pr[5,42]	0.112	0.0105	0.752	-1.59	0.171	1.42	5132.0	1.57	1.0
theta_c_pr[5,43]	0.0242	0.00881	0.761	-1.44	-0.000307	1.53	7458.0	2.28	0.999
theta_c_pr[5,44]	-0.158	0.0125	0.867	-1.99	-0.12	1.38	4824.0	1.47	1.0
theta_c_pr[5,45]	0.425	0.0085	0.727	-1.11	0.438	1.77	7318.0	2.23	1.0
theta_c_pr[5,46]	-0.3	0.00966	0.975	-2.28	-0.297	1.54	10195.0	3.11	1.0
theta_c_pr[5,47]	0.665	0.00815	0.724	-0.838	0.667	2.0	7886.0	2.41	1.0
theta_c_pr[5,48]	0.213	0.00789	0.696	-1.17	0.205	1.55	7795.0	2.38	1.0
theta_c_pr[5,49]	0.337	0.00982	0.713	-1.16	0.342	1.63	5276.0	1.61	1.0
theta_c_pr[5,50]	0.0617	0.0105	0.945	-1.81	0.057	1.86	8147.0	2.49	0.999
theta_c_pr[5,51]	-1.12	0.0105	0.8	-2.65	-1.14	0.475	5862.0	1.79	1.0
theta_c_pr[5,52]	0.0384	0.00818	0.692	-1.32	0.0215	1.39	7165.0	2.19	1.0
theta_c_pr[5,53]	0.233	0.00826	0.732	-1.25	0.223	1.61	7850.0	2.4	0.999
theta_c_pr[5,54]	0.683	0.00693	0.671	-0.761	0.698	1.88	9370.0	2.86	1.0
theta_c_pr[5,55]	0.0208	0.00838	0.67	-1.33	0.00111	1.32	6397.0	1.95	1.0
theta_c_pr[5,56]	0.23	0.00824	0.629	-1.12	0.232	1.4	5816.0	1.78	1.0
